"agea","gndr","eduyrs","cntry","nwspol","netusoft","netustm"
65,"Varón",12,"Austria",90,5,180
21,"Mujer",14,"Austria",90,5,570
53,"Mujer",16,"Austria",30,5,30
64,"Varón",12,"Austria",60,5,120
59,"Mujer",16,"Austria",120,5,120
69,"Mujer",17,"Austria",120,5,240
52,"Mujer",12,"Austria",20,5,180
44,"Mujer",17,"Austria",60,5,120
49,"Varón",14,"Austria",5,5,60
63,"Mujer",12,"Austria",60,5,120
67,"Mujer",11,"Austria",180,5,180
41,"Varón",13,"Austria",20,5,360
26,"Varón",11,"Austria",5,5,600
42,"Varón",8,"Austria",30,4,180
72,"Varón",11,"Austria",60,5,45
31,"Varón",11,"Austria",30,5,180
47,"Varón",14,"Austria",60,5,150
50,"Mujer",11,"Austria",30,5,180
60,"Mujer",12,"Austria",240,5,330
43,"Mujer",16,"Austria",30,5,210
41,"Mujer",12,"Austria",30,5,90
35,"Mujer",12,"Austria",3,5,150
49,"Mujer",9,"Austria",30,5,180
36,"Mujer",15,"Austria",20,5,180
46,"Varón",18,"Austria",60,5,60
57,"Mujer",11,"Austria",30,5,20
67,"Mujer",12,"Austria",90,5,120
38,"Mujer",12,"Austria",0,5,120
42,"Mujer",11,"Austria",30,5,180
59,"Mujer",9,"Austria",15,5,60
38,"Mujer",12,"Austria",15,5,60
25,"Mujer",11,"Austria",0,5,300
34,"Mujer",12,"Austria",10,5,120
74,"Varón",17,"Austria",120,5,180
36,"Mujer",15,"Austria",20,4,30
28,"Varón",12,"Austria",140,5,480
65,"Varón",11,"Austria",60,4,90
60,"Varón",12,"Austria",45,5,300
16,"Mujer",10,"Austria",15,5,180
28,"Varón",14,"Austria",30,5,300
20,"Mujer",12,"Austria",0,5,360
51,"Varón",15,"Austria",60,5,30
87,"Mujer",11,"Austria",60,5,60
57,"Mujer",15,"Austria",90,5,120
76,"Varón",11,"Austria",60,5,110
61,"Varón",11,"Austria",50,5,90
43,"Mujer",13,"Austria",90,5,360
43,"Mujer",17,"Austria",60,5,90
51,"Varón",12,"Austria",40,5,120
69,"Varón",13,"Austria",120,5,180
47,"Mujer",15,"Austria",45,5,165
72,"Varón",14,"Austria",75,5,150
74,"Mujer",18,"Austria",90,5,120
68,"Mujer",11,"Austria",60,4,90
36,"Mujer",13,"Austria",10,4,180
87,"Varón",15,"Austria",60,5,180
24,"Varón",11,"Austria",30,5,180
59,"Varón",12,"Austria",30,5,120
32,"Varón",13,"Austria",10,5,120
47,"Mujer",13,"Austria",90,5,180
45,"Varón",12,"Austria",60,5,720
44,"Varón",13,"Austria",45,5,300
68,"Varón",13,"Austria",30,5,60
20,"Varón",9,"Austria",15,5,300
33,"Varón",11,"Austria",15,4,30
27,"Varón",12,"Austria",30,5,120
28,"Varón",11,"Austria",60,5,240
73,"Varón",12,"Austria",120,5,60
62,"Varón",12,"Austria",45,5,150
58,"Varón",12,"Austria",60,5,90
90,"Mujer",16,"Austria",5,5,480
38,"Varón",13,"Austria",15,5,510
74,"Mujer",11,"Austria",30,4,60
42,"Varón",20,"Austria",0,5,0
51,"Mujer",18,"Austria",40,4,300
76,"Varón",11,"Austria",90,5,150
28,"Varón",12,"Austria",0,5,930
18,"Varón",11,"Austria",10,5,60
49,"Mujer",12,"Austria",90,5,180
70,"Varón",13,"Austria",120,5,120
71,"Mujer",12,"Austria",15,5,60
83,"Varón",14,"Austria",90,5,60
86,"Mujer",18,"Austria",30,5,180
26,"Mujer",11,"Austria",300,5,60
52,"Varón",12,"Austria",0,5,120
63,"Varón",13,"Austria",15,5,60
61,"Mujer",12,"Austria",0,5,5
47,"Mujer",12,"Austria",15,4,60
67,"Mujer",19,"Austria",90,5,120
68,"Varón",11,"Austria",120,5,180
50,"Mujer",12,"Austria",20,5,60
62,"Varón",12,"Austria",120,5,360
64,"Mujer",12,"Austria",5,4,60
39,"Varón",18,"Austria",60,5,180
